link;name;location;company;date
https://rabota.sber.ru/search/4193100;Data engineer (Рекламная платформа/Управление данными);г Москва;ПАО Сбербанк;08 сентября 2023
https://rabota.sber.ru/search/4204895;Junior DevOps-инженер;г Новосибирск, Новосибирская область;ПАО Сбербанк;25 сентября 2023
https://rabota.sber.ru/search/4209467;Эскперт по клиентскому опыту;г Москва;ПАО Сбербанк;19 сентября 2023
https://rabota.sber.ru/search/4214433;Senior Java разработчик / Tech Lead;г Москва;ПАО Сбербанк;28 сентября 2023
https://rabota.sber.ru/search/4206115;CJE дебетовой СберКарты;г Москва;ПАО Сбербанк;08 сентября 2023
https://rabota.sber.ru/search/4198659;Стажер в правовой департамент;г Москва;ПАО Сбербанк;15 сентября 2023
https://rabota.sber.ru/search/4194031;Middle+/Senior Java разработчик (комплексное урегулирование);г Москва;ПАО Сбербанк;18 августа 2023
https://rabota.sber.ru/search/4178062;Лидер группы аджайл команд «Кредитный потенциал»;г Москва;ПАО Сбербанк;15 сентября 2023
https://rabota.sber.ru/search/4196937;Data/Prompt Engineer;г Москва;ПАО Сбербанк;09 августа 2023
https://rabota.sber.ru/search/4196777;Java разработчик (АС ЦАРС);г Самара, Самарская область;ПАО Сбербанк;10 августа 2023
https://rabota.sber.ru/search/4178061;Директор продукта «Кредитный риск профиль клиента»;г Москва;ПАО Сбербанк;12 сентября 2023
https://rabota.sber.ru/search/4195304;Middle Инженер по сопровождению ПО;г Москва;ПАО Сбербанк;03 августа 2023
https://rabota.sber.ru/search/4181415;Middle java developer;г Екатеринбург, Свердловская область;ПАО Сбербанк;20 сентября 2023
https://rabota.sber.ru/search/4166303;Senior Frontend Developer;г Москва;ПАО Сбербанк;31 июля 2023
https://rabota.sber.ru/search/4207339;"Tech Lead (команды ""Данные DWH"" и ""Развитие DWH"")";г Москва;ПАО Сбербанк;08 сентября 2023
https://rabota.sber.ru/search/4166339;Senior Java разработчик;г Санкт-Петербург;ПАО Сбербанк;28 сентября 2023
https://rabota.sber.ru/search/4208594;IOS разработчик (СберСпасибо);г Москва;ПАО Сбербанк;11 сентября 2023
https://rabota.sber.ru/search/4214482;Data engineer;г Омск, Омская область;ПАО Сбербанк;28 сентября 2023
https://rabota.sber.ru/search/4172065;Java разработчик (ЦАРС);г Москва;ПАО Сбербанк;13 июля 2023
https://rabota.sber.ru/search/4138922;Data Analyst (Рекламная платформа);г Москва;ПАО Сбербанк;04 сентября 2023
